model_id,benchmark_id,contrast,side,protocol,common_complete_tasks,repair,repair_rate,regression,regression_rate,functional_preservation,unrepaired_failure
gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr:sc_cpr,single_call,sc_cpr,374,5,0.06944444444444445,1,0.0033112582781456954,301,67
gemma-4-31b-it-qat-w4a16,mbpp_plus,dr:sc_dr,multi_call,dr,375,4,0.05555555555555555,0,0.0,303,68
gemma-4-31b-it-qat-w4a16,mbpp_plus,dr:sc_dr,single_call,sc_dr,375,6,0.08333333333333333,0,0.0,303,66
gemma-4-31b-it-qat-w4a16,mbpp_plus,dcr:sc_dcr,multi_call,dcr,374,5,0.07042253521126761,1,0.0033003300330033004,302,66
gemma-4-31b-it-qat-w4a16,mbpp_plus,dcr:sc_dcr,single_call,sc_dcr,374,4,0.056338028169014086,0,0.0,303,67
gemma-4-31b-it-qat-w4a16,mbpp_plus,dcpr:sc_dcpr,multi_call,dcpr,374,5,0.06944444444444445,1,0.0033112582781456954,301,67
gemma-4-31b-it-qat-w4a16,mbpp_plus,dcpr:sc_dcpr,single_call,sc_dcpr,374,5,0.06944444444444445,0,0.0,302,67
qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr:sc_cr,multi_call,cr,1136,13,0.02249134948096886,18,0.03225806451612903,540,565
qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr:sc_cr,single_call,sc_cr,1136,7,0.012110726643598616,4,0.007168458781362007,554,571
qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr:sc_cpr,multi_call,cpr,1135,11,0.019064124783362217,16,0.02867383512544803,542,566
qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr:sc_cpr,single_call,sc_cpr,1135,7,0.012131715771230503,4,0.007168458781362007,554,570
qwen2.5-coder-14b-instruct,bigcodebench_instruct,dr:sc_dr,multi_call,dr,1136,2,0.0034602076124567475,1,0.0017921146953405018,557,576
qwen2.5-coder-14b-instruct,bigcodebench_instruct,dr:sc_dr,single_call,sc_dr,1136,3,0.005190311418685121,1,0.0017921146953405018,557,575
qwen2.5-coder-14b-instruct,bigcodebench_instruct,dcr:sc_dcr,multi_call,dcr,1136,7,0.012110726643598616,3,0.005376344086021506,555,571
qwen2.5-coder-14b-instruct,bigcodebench_instruct,dcr:sc_dcr,single_call,sc_dcr,1136,4,0.006920415224913495,1,0.0017921146953405018,557,574
qwen2.5-coder-14b-instruct,bigcodebench_instruct,dcpr:sc_dcpr,multi_call,dcpr,1136,7,0.012110726643598616,3,0.005376344086021506,555,571
qwen2.5-coder-14b-instruct,bigcodebench_instruct,dcpr:sc_dcpr,single_call,sc_dcpr,1136,3,0.005190311418685121,1,0.0017921146953405018,557,575
qwen2.5-coder-14b-instruct,humaneval_plus,cr:sc_cr,multi_call,cr,161,2,0.10526315789473684,5,0.035211267605633804,137,17
qwen2.5-coder-14b-instruct,humaneval_plus,cr:sc_cr,single_call,sc_cr,161,0,0.0,1,0.007042253521126761,141,19
qwen2.5-coder-14b-instruct,humaneval_plus,cpr:sc_cpr,multi_call,cpr,161,3,0.15789473684210525,4,0.028169014084507043,138,16
qwen2.5-coder-14b-instruct,humaneval_plus,cpr:sc_cpr,single_call,sc_cpr,161,2,0.10526315789473684,1,0.007042253521126761,141,17
qwen2.5-coder-14b-instruct,humaneval_plus,dr:sc_dr,multi_call,dr,161,1,0.05263157894736842,0,0.0,142,18
qwen2.5-coder-14b-instruct,humaneval_plus,dr:sc_dr,single_call,sc_dr,161,2,0.10526315789473684,0,0.0,142,17
qwen2.5-coder-14b-instruct,humaneval_plus,dcr:sc_dcr,multi_call,dcr,161,2,0.10526315789473684,0,0.0,142,17
qwen2.5-coder-14b-instruct,humaneval_plus,dcr:sc_dcr,single_call,sc_dcr,161,2,0.10526315789473684,1,0.007042253521126761,141,17
qwen2.5-coder-14b-instruct,humaneval_plus,dcpr:sc_dcpr,multi_call,dcpr,161,3,0.15789473684210525,0,0.0,142,16
qwen2.5-coder-14b-instruct,humaneval_plus,dcpr:sc_dcpr,single_call,sc_dcpr,161,2,0.10526315789473684,1,0.007042253521126761,141,17
qwen2.5-coder-14b-instruct,mbpp_plus,cr:sc_cr,multi_call,cr,377,11,0.12222222222222222,8,0.027874564459930314,279,79
qwen2.5-coder-14b-instruct,mbpp_plus,cr:sc_cr,single_call,sc_cr,377,9,0.1,2,0.006968641114982578,285,81
qwen2.5-coder-14b-instruct,mbpp_plus,cpr:sc_cpr,multi_call,cpr,377,9,0.1,8,0.027874564459930314,279,81
qwen2.5-coder-14b-instruct,mbpp_plus,cpr:sc_cpr,single_call,sc_cpr,377,8,0.08888888888888889,2,0.006968641114982578,285,82
