model_id,benchmark_id,protocol,total_rows,cost_determinate,end_to_end_tokens_total,end_to_end_tokens_mean,end_to_end_tokens_median,end_to_end_input_tokens_total,end_to_end_input_tokens_mean,end_to_end_input_tokens_median,end_to_end_output_tokens_total,end_to_end_output_tokens_mean,end_to_end_output_tokens_median,incremental_tokens_total,incremental_input_tokens_total,incremental_output_tokens_total,decision_overhead_tokens_total,avoided_refinement_tokens_total,net_token_saving_total,determinate_final,correct,pass_rate
devstral-small-2-24b-instruct,mbpp_plus,direct,378,378,97922,259.0529100529101,219.0,57649,152.510582010582,145.0,40273,106.54232804232804,65.5,0,0,0,,,,377,264,0.7002652519893899
devstral-small-2-24b-instruct,mbpp_plus,dr,378,376,180875,481.0505319148936,426.0,144774,385.03723404255317,348.0,36101,96.01329787234043,72.5,91470,87450,4020,82595,123514,40919,377,264,0.7002652519893899
devstral-small-2-24b-instruct,mbpp_plus,r,378,376,221794,589.8776595744681,535.5,158385,421.23670212765956,400.0,63409,168.6409574468085,130.0,132389,101061,31328,,,,377,265,0.7029177718832891
devstral-small-2-24b-instruct,mbpp_plus,sc_cpr,378,376,233103,619.9547872340426,564.5,169289,450.23670212765956,429.0,63814,169.71808510638297,130.0,143698,111965,31733,,,,377,264,0.7002652519893899
devstral-small-2-24b-instruct,mbpp_plus,sc_cr,378,376,229551,610.5079787234042,555.5,165905,441.23670212765956,420.0,63646,169.2712765957447,131.0,140146,108581,31565,,,,377,265,0.7029177718832891
devstral-small-2-24b-instruct,mbpp_plus,sc_dcpr,378,376,256347,681.7739361702128,615.0,183577,488.23670212765956,467.0,72770,193.5372340425532,147.0,166942,126253,40689,,,,377,264,0.7002652519893899
devstral-small-2-24b-instruct,mbpp_plus,sc_dcr,378,376,247554,658.3882978723404,603.0,180569,480.23670212765956,459.0,66985,178.15159574468086,139.0,158149,123245,34904,,,,377,263,0.6976127320954907
devstral-small-2-24b-instruct,mbpp_plus,sc_dr,378,376,242260,644.3085106382979,590.0,175305,466.23670212765956,445.0,66955,178.0718085106383,139.0,152855,117981,34874,,,,377,266,0.7055702917771883
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cpr,1136,1136,3917451,3448.4603873239435,3308.5,2797549,2462.631161971831,2363.5,1119902,985.8292253521126,937.0,3173576,2489349,684227,,,,1136,557,0.4903169014084507
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,cr,1136,1136,3050028,2684.8838028169016,2596.5,1992824,1754.2464788732395,1700.5,1057204,930.637323943662,899.0,2306153,1684624,621529,,,,1136,560,0.49295774647887325
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dcpr,1136,1136,2096000,1845.0704225352113,1294.0,1504201,1324.1205985915492,904.0,591799,520.949823943662,384.0,1352125,1196001,156124,727804,2549255,1821451,1136,560,0.49295774647887325
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dcr,1136,1136,1901789,1674.1100352112676,1294.0,1339370,1179.0228873239437,904.0,562419,495.08714788732397,384.0,1157914,1031170,126744,727804,1876043,1148239,1136,563,0.49559859154929575
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,direct,1136,1136,743875,654.8195422535211,630.0,308200,271.30281690140845,254.0,435675,383.5167253521127,365.0,0,0,0,,,,1136,569,0.5008802816901409
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,dr,1136,1136,1679712,1478.619718309859,1294.0,1167514,1027.7411971830986,904.0,512198,450.8785211267606,383.5,935837,859314,76523,727804,993424,265620,1136,569,0.5008802816901409
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,r,1136,1136,1945332,1712.4401408450703,1656.5,1088429,958.1241197183099,926.0,856903,754.3160211267606,725.5,1201457,780229,421228,,,,1136,574,0.5052816901408451
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_cpr,1136,1136,1992714,1754.149647887324,1700.0,1121373,987.1241197183099,955.0,871341,767.0255281690141,738.0,1248839,813173,435666,,,,1136,572,0.5035211267605634
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_cr,1136,1136,1982999,1745.5977112676057,1691.0,1108877,976.1241197183099,944.0,874122,769.4735915492957,744.0,1239124,800677,438447,,,,1136,570,0.5017605633802817
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_dcpr,1136,1136,2041276,1796.8978873239437,1738.0,1163405,1024.1241197183099,992.0,877871,772.7737676056338,737.0,1297401,855205,442196,,,,1136,574,0.5052816901408451
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_dcr,1136,1136,2028885,1785.9903169014085,1730.0,1153181,1015.1241197183099,983.0,875704,770.8661971830986,737.0,1285010,844981,440029,,,,1136,570,0.5017605633802817
gemma-4-31b-it-qat-w4a16,bigcodebench_instruct,sc_dr,1136,1136,2008864,1768.3661971830986,1713.5,1137277,1001.1241197183099,969.0,871587,767.2420774647887,732.0,1264989,829077,435912,,,,1136,572,0.5035211267605634
gemma-4-31b-it-qat-w4a16,humaneval_plus,cpr,163,163,431038,2644.40490797546,2410,320049,1963.4907975460123,1810,110989,680.9141104294479,585,347394,278243,69151,,,,161,151,0.937888198757764
gemma-4-31b-it-qat-w4a16,humaneval_plus,cr,163,163,340272,2087.558282208589,1896,233739,1433.9815950920245,1324,106533,653.5766871165645,579,256628,191933,64695,,,,161,151,0.937888198757764
gemma-4-31b-it-qat-w4a16,humaneval_plus,dcpr,163,163,210206,1289.6073619631902,964,155261,952.5214723926381,712,54945,337.0858895705521,241,126562,113455,13107,81350,302182,220832,161,154,0.9565217391304348
gemma-4-31b-it-qat-w4a16,humaneval_plus,dcr,163,163,198734,1219.2269938650306,964,145272,891.239263803681,712,53462,327.9877300613497,241,115090,103466,11624,81350,222888,141538,161,154,0.9565217391304348
gemma-4-31b-it-qat-w4a16,humaneval_plus,direct,163,163,83644,513.1533742331288,482,41806,256.47852760736197,239,41838,256.67484662576686,233,0,0,0,,,,161,156,0.968944099378882
gemma-4-31b-it-qat-w4a16,humaneval_plus,dr,163,163,178618,1095.8159509202453,964,131432,806.3312883435583,712,47186,289.4846625766871,241,94974,89626,5348,81350,117776,36426,161,156,0.968944099378882
gemma-4-31b-it-qat-w4a16,humaneval_plus,r,163,163,215044,1319.2883435582821,1245,130666,801.6319018404907,758,84378,517.6564417177914,486,131400,88860,42540,,,,161,155,0.9627329192546584
gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_cpr,163,163,220620,1353.4969325153374,1277,135393,830.6319018404907,787,85227,522.8650306748466,486,136976,93587,43389,,,,161,155,0.9627329192546584
gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_cr,163,163,218179,1338.521472392638,1263,133600,819.6319018404907,776,84579,518.8895705521472,486,134535,91794,42741,,,,161,155,0.9627329192546584
gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_dcpr,163,163,226469,1389.3803680981596,1302,141424,867.6319018404907,824,85045,521.7484662576687,476,142825,99618,43207,,,,161,155,0.9627329192546584
gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_dcr,163,163,225304,1382.2331288343557,1293,139957,858.6319018404907,815,85347,523.601226993865,481,141660,98151,43509,,,,161,155,0.9627329192546584
gemma-4-31b-it-qat-w4a16,humaneval_plus,sc_dr,163,163,222329,1363.9815950920245,1279,137675,844.6319018404907,801,84654,519.3496932515337,476,138685,95869,42816,,,,161,155,0.9627329192546584
gemma-4-31b-it-qat-w4a16,mbpp_plus,cpr,378,376,777504,2067.8297872340427,1643.5,561486,1493.313829787234,1264.5,216018,574.5159574468086,406.0,628960,499004,129956,,,,377,304,0.8063660477453581
gemma-4-31b-it-qat-w4a16,mbpp_plus,cr,378,376,615335,1636.529255319149,1294.5,402232,1069.7659574468084,921.5,213103,566.7632978723404,398.5,466791,339750,127041,,,,378,305,0.8068783068783069
gemma-4-31b-it-qat-w4a16,mbpp_plus,dcpr,378,376,398659,1060.2632978723404,678.0,284360,756.2765957446809,491.5,114299,303.98670212765956,181.0,250115,221878,28237,143254,522099,378845,377,307,0.8143236074270557
gemma-4-31b-it-qat-w4a16,mbpp_plus,dcr,378,376,370424,985.1702127659574,678.0,256198,681.3776595744681,491.5,114226,303.7925531914894,181.0,221880,193716,28164,143254,388165,244911,378,307,0.8121693121693122
gemma-4-31b-it-qat-w4a16,mbpp_plus,direct,378,378,153639,406.45238095238096,338.0,62787,166.1031746031746,158.0,90852,240.34920634920636,172.0,0,0,0,,,,377,303,0.8037135278514589
gemma-4-31b-it-qat-w4a16,mbpp_plus,dr,378,376,319524,849.7978723404256,678.0,225006,598.4202127659574,491.5,94518,251.37765957446808,181.0,170980,162524,8456,143254,207945,64691,377,307,0.8143236074270557
gemma-4-31b-it-qat-w4a16,mbpp_plus,r,378,376,384215,1021.8484042553191,882.5,223058,593.2393617021277,538.5,161157,428.6090425531915,340.5,235671,160576,75095,,,,377,307,0.8143236074270557
gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_cpr,378,376,402524,1070.5425531914893,913.0,233962,622.2393617021277,567.5,168562,448.3031914893617,341.5,253980,171480,82500,,,,378,307,0.8121693121693122
gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_cr,378,376,401116,1066.7978723404256,900.5,229826,611.2393617021277,556.5,171290,455.5585106382979,341.5,252572,167344,85228,,,,378,307,0.8121693121693122
gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_dcpr,378,376,420623,1118.6781914893618,957.0,247874,659.2393617021277,604.5,172749,459.43882978723406,350.0,272079,185392,86687,,,,378,307,0.8121693121693122
gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_dcr,378,376,417432,1110.1914893617022,948.0,244490,650.2393617021277,595.5,172942,459.95212765957444,351.0,268888,182008,86880,,,,378,307,0.8121693121693122
gemma-4-31b-it-qat-w4a16,mbpp_plus,sc_dr,378,376,410565,1091.9281914893618,934.0,239226,636.2393617021277,581.5,171339,455.68882978723406,350.0,262021,176744,85277,,,,378,309,0.8174603174603174
qwen2.5-coder-14b-instruct,bigcodebench_instruct,cpr,1136,1136,2897653,2550.75088028169,2350.0,2169407,1909.6892605633802,1798.0,728246,641.0616197183099,542.0,2349577,1861976,487601,,,,1135,553,0.48722466960352423
qwen2.5-coder-14b-instruct,bigcodebench_instruct,cr,1136,1136,2201473,1937.9163732394366,1821.0,1559711,1372.9850352112676,1302.0,641762,564.931338028169,510.0,1653397,1252280,401117,,,,1136,553,0.4867957746478873
qwen2.5-coder-14b-instruct,bigcodebench_instruct,dcpr,1136,1136,1287236,1133.130281690141,923.0,982732,865.080985915493,705.0,304504,268.0492957746479,213.0,739160,675301,63859,526258,2136675,1610417,1136,562,0.49471830985915494
qwen2.5-coder-14b-instruct,bigcodebench_instruct,dcr,1136,1136,1213857,1068.5360915492959,923.0,927968,816.8732394366198,705.0,285889,251.66285211267606,213.0,665781,620537,45244,526258,1513874,987616,1136,562,0.49471830985915494
qwen2.5-coder-14b-instruct,bigcodebench_instruct,direct,1136,1136,548076,482.4612676056338,463.0,307431,270.6258802816901,254.0,240645,211.83538732394365,204.0,0,0,0,,,,1136,558,0.49119718309859156
qwen2.5-coder-14b-instruct,bigcodebench_instruct,dr,1136,1136,1130385,995.0572183098592,923.0,868739,764.7350352112676,705.0,261646,230.32218309859155,213.0,582309,561308,21001,526258,762636,236378,1136,559,0.4920774647887324
qwen2.5-coder-14b-instruct,bigcodebench_instruct,r,1136,1136,1366763,1203.1364436619717,1162.0,887152,780.943661971831,745.5,479611,422.19278169014086,408.0,818687,579721,238966,,,,1136,559,0.4920774647887324
qwen2.5-coder-14b-instruct,bigcodebench_instruct,sc_cpr,1136,1136,1402298,1234.4172535211267,1193.0,921232,810.943661971831,775.5,481066,423.47359154929575,408.0,854222,613801,240421,,,,1136,561,0.49383802816901406
